Désignation	14	text	0	0					0	0	4	1	bb25c530-7771e958-5e82fb76608482.48685229	156	14
Type de traitement	14	multiselect	0	0	[""]		["Collecte","Enregistrement","Consultation","Modification","Suppression","Diffusion","Stockage durant traitement","Stockage en archivage"]		1	0	4	1	bb25c530-7771e958-5e82fc050a1792.01162702	157	14
Emetteur	14	actor	0	0	[]				2	0	4	2	bb25c530-7771e958-5e82fc4fb49266.78593438	158	14
Récepteur, collecteur	14	actor	0	0	[]				4	0	4	2	bb25c530-7771e958-5e8305774a1cc5.38818524	159	14
Acteurs	14	actor	0	0	[]				5	0	4	3	bb25c530-7771e958-5e83057169d773.55525476	160	14
Action : modalité, canal, processus	14	text	0	0					3	0	4	1	bb25c530-7771e958-5e83057743da47.16155064	161	14
Documents ou média	14	text	0	0					6	0	4	1	bb25c530-7771e958-5e82fd8449e226.20769982	162	14
Support des données	14	glpiselect	0	0	0	Software			7	0	4	1	bb25c530-7771e958-5e82fdf5b9f312.35569131	163	14
Durée de conservation	14	text	0	0					8	0	4	2	bb25c530-7771e958-5e82ff785077a8.35508008	164	14
Respect des droits : information	14	text	0	0					9	0	4	2	bb25c530-7771e958-5e82ffa689d4a8.49779983	165	14
Respect des droits : consentement	14	text	0	0					10	0	4	2	bb25c530-7771e958-5e82ffd1c80e19.03058831	166	14
Respect des droits : conservation de la preuve	14	text	0	0					11	0	4	2	bb25c530-7771e958-5e82fff731c2f5.86293502	167	14
Mesures pour empêcher les accès illégitimes	14	text	0	0					12	0	4	3	bb25c530-7771e958-5e830cd8e1c330.58804554	168	14
Mesures de traçabilité	14	text	0	0					13	0	4	1	bb25c530-7771e958-5e830d18ddf8f3.08156077	169	14
Mesures pour empêcher la perte	14	text	0	0					14	0	4	1	bb25c530-7771e958-5e830d38388ab2.55943866	170	14
Qui avez-vous désigné comme référent RGPD interne à l'entreprise ?	162	actor	0	0	[]				0	0	4	1	b49e2eaa-8ac668dd-6183a0ac200d53.79030067	1354	162
Avez-vous désigné officiellement un DPO ?	162	radios	0	0			["oui","non"]		1	0	4	1	b49e2eaa-8ac668dd-6183a0ac2078a0.03577656	1355	162
